[2026-04-04T21:09:30.192Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":18,"status":{"code":3,"text":"QR"},"version":"1.8.7-116-gd43416f7","user":null,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:09:34.136Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":22,"status":{"code":3,"text":"QR"},"version":"1.8.7-116-gd43416f7","user":null,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:09:39.725Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":27,"status":{"code":3,"text":"QR"},"version":"1.8.7-116-gd43416f7","user":null,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:09:55.697Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":43,"status":{"code":2,"text":"LAUNCH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:09:57.999Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":45,"status":{"code":5,"text":"SYNC_ERROR"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:00.612Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":48,"status":{"code":5,"text":"SYNC_ERROR"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:03.128Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":51,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:04.745Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":52,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:10.087Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":58,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:14.544Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":62,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:20.094Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":68,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:24.433Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":72,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:29.730Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":77,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
